作品名称：【栗老师】相见恨晚的大圆脸发型教程  超遮脸看起来能显瘦20斤  抛弃tony老师自己搞定吧
网址：https://www.bilibili.com/video/av26492782
更新时间：07-12
弹幕总量：989
preciseTime    ofTime          comment
207.7          1531201924.0    哈，我这两个位置已经秃的没有头发了，怎么办
208.161        1531301715.0    我应该男的居然在看这个
208.299        1531299793.0    对对对  厚刘海怎么修啊  流泪
208.916        1531153634.0    可是长期头发有分线都秃了一块要怎么办
210.734        1531359088.0    这块已经被刘海覆盖完毕啊哈哈
211.305        1531248854.0    有点像赵薇唉
211.754        1531232466.0    头发带一丢丢自来卷的我也就只能看看了
212.342        1531383563.0    完了，我是个秃子
212.394        1531190418.0    哇 好棒
212.445        1531299346.0    我一个男的看的津津有味
212.565        1531335606.0    我右边这块是秃的左边倒是有，汪的一下就哭了
212.843        1531273243.0    我也 秃了
212.925        1531304625.0    我剪完了，发现不是发型的问题
213.419        1531189316.0    辛苦了～
213.681        1531335040.0    已秃
214.002        1531193855.0    Up主，美美的up主，我就那个地方，沒头发，！！！！！特别细软特别短。跟秃了似的！！
214.419        1531161890.0    有美人尖，而且美人尖那块的头发特别坚强的人哭了
215.296        1531193033.0    秃头等我！！！
215.419        1531147091.0    脸短又圆完额头还窄…
215.591        1531388684.0    讲究
216.001        1531159357.0    太好看了吧
216.122        1531301427.0    美色！！！！！
216.321        1531188310.0    我这块正好秃的。。。。心塞
216.459        1531151977.0    厉害了
216.492        1531379713.0    我怎么还是剪出了做作的感觉，哇哇哇难受
216.663        1531307910.0    也可以留短发
217.398        1531298635.0    我剪了这个头发后，大风一吹，我就是我
